stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code,stop_access
IDFM:monomodalStopPlace:473875,,Nation,,2.3959444654495297,48.84823319072756,1,,0,IDFM:71673,,,1,,
IDFM:monomodalStopPlace:53783,,Chatou - Croissy,,2.1559376624708975,48.88519702561107,4,,0,IDFM:64483,,,1,,
IDFM:monomodalStopPlace:53784,,Le Vésinet - Centre,,2.1343339900216813,48.89013759185911,4,,0,IDFM:64514,,,1,,
IDFM:monomodalStopPlace:473890,,Denfert-Rochereau,,2.333220634641387,48.83318643678081,1,,0,IDFM:71056,,,1,,
IDFM:monomodalStopPlace:473843,,Cité Universitaire,,2.3388576809777035,48.82150600684166,1,,0,IDFM:70623,,,1,,
IDFM:monomodalStopPlace:58267,,Les Boullereaux Champigny,,2.511990843607618,48.82486398816196,3,,0,IDFM:73098,,,1,,
IDFM:monomodalStopPlace:58288,,Les Yvris Noisy-le-Grand,,2.5799804563719477,48.82311348135466,4,,0,IDFM:73096,,,0,,
IDFM:monomodalStopPlace:58270,,Champigny,,2.510538043646919,48.80682309456137,3,,0,IDFM:73042,,,1,,
IDFM:monomodalStopPlace:46689,,Viroflay Rive Droite,,2.1676545647835206,48.805472581494975,3,,0,IDFM:422420,,,1,,
IDFM:monomodalStopPlace:46647,,Achères Ville,,2.0777265246565433,48.970643570814424,5,,0,IDFM:73604,,,1,,
IDFM:monomodalStopPlace:46897,,Meulan - Hardricourt,,1.9021289902435004,49.00581615609435,5,,0,IDFM:66321,,,0,,
IDFM:monomodalStopPlace:474069,,Lozère,,2.212717641845953,48.705912413627026,4,,0,IDFM:63029,,,1,,
IDFM:monomodalStopPlace:474082,,Noisy-le-Grand - Mont d'Est,,2.5488073205108335,48.84088515401643,4,,0,IDFM:412697,,,1,,
IDFM:monomodalStopPlace:45102,,Châtelet - Les Halles,,2.34697651043533,48.86174503191322,1,,0,IDFM:474151,,,0,,
IDFM:monomodalStopPlace:46736,,Dammartin - Juilly - Saint-Mard,,2.699046819624294,49.03215183565455,5,,0,IDFM:69254,,,0,,
